Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/

Crime in 2007

,,,,Number of offenses reported,,,,,,,,,,"Crime rate per 100,000 population",,,,,,,,,,,
,,,,Violent crime,,,,,,Property crime,,,,Violent crime,,,,,,Property crime,,,,,

Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,
Accomack County Sheriff Office,VA,12,,          76,           5,           8,,          31,          32,         602,         170,         369,          63,,,,,,,,,,
Albemarle County Police Department,VA,12,,         156,           1,          26,,          45,          84,       2041,         303,       1647,          91,,,,,,,,,,
Alexandria Police Dept,VA,12,     137812,         366,           7,          18,,         162,         179,       3301,         366,       2576,         359,         265.6,           5.1,          13.1,,         117.6,         129.9,       2395.3,         265.6,       1869.2,         260.5
Amherst County Sheriff Office,VA,12,,          50,           1,          10,,          17,          22,         463,          40,         395,          28,,,,,,,,,,
Arlington County Police Department,VA,12,,         326,           2,          25,,         148,         151,       4205,         393,       3522,         290,,,,,,,,,,
Augusta County Sheriff Office,VA,12,,          80,           1,          13,,          11,          55,         856,         194,         596,          66,,,,,,,,,,
Bedford County Sheriff Office,VA,12,,          58,           2,           8,,           8,          40,         758,         131,         574,          53,,,,,,,,,,
Blacksburg Police Dept,VA,12,      39250,          64,           0,           8,,          10,          46,         662,         121,         525,          16,         163.1,            .0,          20.4,,          25.5,         117.2,       1686.6,         308.3,       1337.6,          40.8
Botetourt County Sheriff Office,VA,12,,          22,           1,           4,,           5,          12,         349,          55,         279,          15,,,,,,,,,,
Bristol Police Dept,VA,12,      17484,          76,           0,          11,,          17,          48,         765,         123,         604,          38,         434.7,            .0,          62.9,,          97.2,         274.5,       4375.4,         703.5,       3454.6,         217.3
Campbell County Sheriff Office,VA,12,,          76,           0,          12,,          10,          54,         826,         163,         608,          55,,,,,,,,,,
Caroline County Sheriff Office,VA,12,,          63,           4,           7,,          12,          40,         433,         103,         329,           1,,,,,,,,,,
Carroll County Sheriff Office,VA,12,,          41,           4,           5,,           4,          28,         369,          90,         243,          36,,,,,,,,,,
Charlottesville Police Dept,VA,12,      40265,         275,           3,          26,,          93,         153,       1944,         277,       1531,         136,         683.0,           7.5,          64.6,,         231.0,         380.0,       4828.0,         687.9,       3802.3,         337.8
Chesapeake Police Dept,VA,12,     223093,         982,          12,          78,,         326,         566,       7219,       1252,       5479,         488,         440.2,           5.4,          35.0,,         146.1,         253.7,       3235.9,         561.2,       2455.9,         218.7
Chesterfield County Police Department,VA,12,,         694,          10,          81,,         328,         275,       7311,       1645,       5162,         504,,,,,,,,,,
Christiansburg Police Dept,VA,12,      17983,          50,           0,           2,,           8,          40,         766,         111,         624,          31,         278.0,            .0,          11.1,,          44.5,         222.4,       4259.6,         617.2,       3469.9,         172.4
Colonial Heights Police Dept,VA,12,      17747,          47,           0,           2,,          23,          22,         733,          42,         643,          48,         264.8,            .0,          11.3,,         129.6,         124.0,       4130.3,         236.7,       3623.1,         270.5
Culpeper County Sheriff Office,VA,12,,          18,           0,           3,,           6,           9,         221,          44,         157,          20,,,,,,,,,,
Culpeper Town Police Dept,VA,12,      13574,          52,           0,           5,,          15,          32,         425,          38,         365,          22,         383.1,            .0,          36.8,,         110.5,         235.7,       3131.0,         279.9,       2689.0,         162.1
Danville Police Dept,VA,12,      45114,         204,           5,           9,,          98,          92,       2448,         551,       1785,         112,         452.2,          11.1,          19.9,,         217.2,         203.9,       5426.3,       1221.4,       3956.6,         248.3
Dinwiddie County Sheriff Department,VA,12,,          63,           5,          12,,          14,          32,         410,          95,         269,          46,,,,,,,,,,
Fairfax (City) Police Dept,VA,12,      22484,          39,           1,           9,,          11,          18,         618,          52,         524,          42,         173.5,           4.4,          40.0,,          48.9,          80.1,       2748.6,         231.3,       2330.5,         186.8
Fairfax County Police Department,VA,12,,         873,          15,          59,,         490,         309,      16690,       1371,      14102,       1217,,,,,,,,,,
Falls Church Police Dept,VA,12,      10831,          32,           0,           2,,          16,          14,         348,          31,         291,          26,         295.4,            .0,          18.5,,         147.7,         129.3,       3213.0,         286.2,       2686.7,         240.1
Fauquier County Sheriff Office,VA,12,,          76,           4,          11,,           5,          56,         719,         131,         524,          64,,,,,,,,,,
Fluvanna County Sheriff Department,VA,12,,          25,           0,           2,,           2,          21,         211,          56,         138,          17,,,,,,,,,,
Franklin County Sheriff Office,VA,12,,          36,           1,          11,,           2,          22,         572,          92,         435,          45,,,,,,,,,,
Frederick County Sheriff Office,VA,12,,         100,           0,          45,,          12,          43,       1524,         291,       1093,         140,,,,,,,,,,
Fredericksburg Police Dept,VA,12,      21521,         152,           3,          15,,          40,          94,       1109,          99,         938,          72,         706.3,          13.9,          69.7,,         185.9,         436.8,       5153.1,         460.0,       4358.5,         334.6
