Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/

Crime in 2008

,,,,Number of offenses reported,,,,,,,,,,"Crime rate per 100,000 population",,,,,,,,,,,
,,,,Violent crime,,,,,,Property crime,,,,Violent crime,,,,,,Property crime,,,,,

Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,
Accomack County Sheriff Office,VA,12,,          70,           2,          12,,          30,          26,         604,         182,         381,          41,,,,,,,,,,
Albemarle County Police Department,VA,12,,         131,           4,          25,,          38,          64,       1940,         238,       1599,         103,,,,,,,,,,
Alexandria Police Dept,VA,12,     140891,         326,           4,          30,,         151,         141,       3400,         294,       2726,         380,         231.4,           2.8,          21.3,,         107.2,         100.1,       2413.2,         208.7,       1934.8,         269.7
Amherst County Sheriff Office,VA,12,,          31,           1,           6,,           6,          18,         529,          58,         436,          35,,,,,,,,,,
Arlington County Police Department,VA,12,,         312,           3,          21,,         145,         143,       4813,         388,       4115,         310,,,,,,,,,,
Augusta County Sheriff Office,VA,12,,          82,           0,           9,,           8,          65,         811,         150,         612,          49,,,,,,,,,,
Bedford County Sheriff Office,VA,12,,          53,           0,          19,,           4,          30,         790,         121,         610,          59,,,,,,,,,,
Blacksburg Police Dept,VA,12,      41509,          56,           0,           9,,          11,          36,         656,         127,         503,          26,         134.9,            .0,          21.7,,          26.5,          86.7,       1580.4,         306.0,       1211.8,          62.6
Botetourt County Sheriff Office,VA,12,,          20,           0,           6,,           1,          13,         357,          45,         295,          17,,,,,,,,,,
Bristol Police Dept,VA,12,      17563,          72,           0,          14,,          15,          43,         708,         127,         542,          39,         410.0,            .0,          79.7,,          85.4,         244.8,       4031.2,         723.1,       3086.0,         222.1
Campbell County Sheriff Office,VA,12,,          78,           2,          19,,          11,          46,         831,         166,         614,          51,,,,,,,,,,
Caroline County Sheriff Office,VA,12,,          66,           0,          13,,          14,          39,         441,          88,         348,           5,,,,,,,,,,
Carroll County Sheriff Office,VA,12,,          52,           2,           4,,           2,          44,         400,         144,         217,          39,,,,,,,,,,
Charlottesville Police Dept,VA,12,      41216,         220,           5,          23,,          80,         112,       1956,         185,       1622,         149,         533.8,          12.1,          55.8,,         194.1,         271.7,       4745.7,         448.9,       3935.4,         361.5
Chesapeake Police Dept,VA,12,     220812,       1014,          12,          70,,         379,         553,       7079,       1272,       5357,         450,         459.2,           5.4,          31.7,,         171.6,         250.4,       3205.9,         576.1,       2426.0,         203.8
Chesterfield County Police Department,VA,12,,         613,          11,          66,,         322,         214,       7249,       1581,       5196,         472,,,,,,,,,,
Christiansburg Police Dept,VA,12,      19466,          51,           2,          15,,           9,          25,         794,         126,         637,          31,         262.0,          10.3,          77.1,,          46.2,         128.4,       4078.9,         647.3,       3272.4,         159.3
Colonial Heights Police Dept,VA,12,      17843,          44,           0,           2,,          19,          23,         795,          69,         692,          34,         246.6,            .0,          11.2,,         106.5,         128.9,       4455.5,         386.7,       3878.3,         190.6
Culpeper County Sheriff Office,VA,12,,          27,           0,           5,,           1,          21,         339,          34,         266,          39,,,,,,,,,,
Culpeper Town Police Dept,VA,12,      14072,          60,           0,           4,,          20,          36,         483,          43,         416,          24,         426.4,            .0,          28.4,,         142.1,         255.8,       3432.3,         305.6,       2956.2,         170.6
Danville Police Dept,VA,12,      44383,         261,          10,           7,,         111,         133,       2718,         511,       2110,          97,         588.1,          22.5,          15.8,,         250.1,         299.7,       6124.0,       1151.3,       4754.1,         218.6
Dinwiddie County Sheriff Department,VA,12,,          48,           0,          10,,           8,          30,         496,         129,         316,          51,,,,,,,,,,
Fairfax (City) Police Dept,VA,12,      23486,          32,           1,           4,,          19,           8,         646,          47,         575,          24,         136.3,           4.3,          17.0,,          80.9,          34.1,       2750.6,         200.1,       2448.3,         102.2
Fairfax County Police Department,VA,12,,         732,          18,          62,,         343,         309,      18338,       1392,      15864,       1082,,,,,,,,,,
Falls Church Police Dept,VA,12,      10979,          17,           0,           0,,          12,           5,         376,          31,         324,          21,         154.8,            .0,            .0,,         109.3,          45.5,       3424.7,         282.4,       2951.1,         191.3
Fauquier County Sheriff Office,VA,12,,          40,           1,          10,,           6,          23,         611,          80,         473,          58,,,,,,,,,,
Fluvanna County Sheriff Department,VA,12,,          18,           1,           3,,           2,          12,         222,          63,         139,          20,,,,,,,,,,
Franklin County Sheriff Office,VA,12,,          36,           1,           7,,           7,          21,         581,         119,         430,          32,,,,,,,,,,
Frederick County Sheriff Office,VA,12,,         129,           1,          47,,          14,          67,       1593,         366,       1092,         135,,,,,,,,,,
Fredericksburg Police Dept,VA,12,      22740,         136,           2,           8,,          47,          79,       1150,         100,         995,          55,         598.1,           8.8,          35.2,,         206.7,         347.4,       5057.2,         439.8,       4375.5,         241.9
Front Royal Police Dept,VA,12,      14688,          35,           0,           8,,          11,          16,         718,          73,         614,          31,         238.3,            .0,          54.5,,          74.9,         108.9,       4888.3,         497.0,       4180.3,         211.1
