Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/

Crime in 2009

,,,,Number of offenses reported,,,,,,,,,,"Crime rate per 100,000 population",,,,,,,,,,,
,,,,Violent crime,,,,,,Property crime,,,,Violent crime,,,,,,Property crime,,,,,

Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,
Accomack County Sheriff Office,VA,12,,          66,           1,          11,,          27,          27,         528,         199,         296,          33,,,,,,,,,,
Albemarle County Police Department,VA,12,,         109,           0,          18,,          27,          64,       2049,         249,       1675,         125,,,,,,,,,,
Alexandria Police Dept,VA,12,     146145,         288,           5,          12,,         141,         130,       3314,         347,       2630,         337,         197.1,           3.4,           8.2,,          96.5,          89.0,       2267.6,         237.4,       1799.6,         230.6
Amherst County Sheriff Office,VA,12,,          35,           0,           3,,           8,          24,         511,          81,         403,          27,,,,,,,,,,
Arlington County Police Department,VA,12,,         321,           2,          15,,         148,         156,       4725,         320,       4117,         288,,,,,,,,,,
Augusta County Sheriff Office,VA,12,,          89,           2,           9,,           5,          73,         747,         180,         523,          44,,,,,,,,,,
Bedford County Sheriff Office,VA,12,,         158,           1,          15,,           5,         137,         723,         154,         501,          68,,,,,,,,,,
Blacksburg Police Dept,VA,12,      42047,          51,           0,          16,,          11,          24,         698,         164,         506,          28,         121.3,            .0,          38.1,,          26.2,          57.1,       1660.0,         390.0,       1203.4,          66.6
Botetourt County Sheriff Office,VA,12,,          19,           0,           7,,           1,          11,         348,          75,         259,          14,,,,,,,,,,
Bristol Police Dept,VA,12,      17502,          51,           0,           5,,           9,          37,         624,         107,         490,          27,         291.4,            .0,          28.6,,          51.4,         211.4,       3565.3,         611.4,       2799.7,         154.3
Campbell County Sheriff Office,VA,12,,          84,           3,          15,,          10,          56,         754,         190,         517,          47,,,,,,,,,,
Caroline County Sheriff Office,VA,12,,          55,           0,          16,,           7,          32,         412,          95,         300,          17,,,,,,,,,,
Carroll County Sheriff Office,VA,12,,          16,           1,           5,,           2,           8,         389,         144,         219,          26,,,,,,,,,,
Charlottesville Police Dept,VA,12,      41798,         248,           0,          35,,          88,         125,       2079,         184,       1771,         124,         593.3,            .0,          83.7,,         210.5,         299.1,       4973.9,         440.2,       4237.0,         296.7
Chesapeake Police Dept,VA,12,     223261,         873,          12,          42,,         237,         582,       7864,       1340,       6090,         434,         391.0,           5.4,          18.8,,         106.2,         260.7,       3522.3,         600.2,       2727.7,         194.4
Chesterfield County Police Department,VA,12,,         505,           2,          45,,         230,         228,       7590,       1876,       5333,         381,,,,,,,,,,
Christiansburg Police Dept,VA,12,      19775,          36,           2,          10,,           7,          17,         724,         107,         603,          14,         182.0,          10.1,          50.6,,          35.4,          86.0,       3661.2,         541.1,       3049.3,          70.8
Colonial Heights Police Dept,VA,12,      17932,          48,           0,           2,,          22,          24,         843,          65,         744,          34,         267.7,            .0,          11.2,,         122.7,         133.8,       4701.1,         362.5,       4149.0,         189.6
Culpeper County Sheriff Office,VA,12,,          24,           0,           3,,           1,          20,         228,          66,         149,          13,,,,,,,,,,
Culpeper Town Police Dept,VA,12,      14562,          70,           0,           6,,          16,          48,         464,          35,         416,          13,         480.7,            .0,          41.2,,         109.9,         329.6,       3186.4,         240.4,       2856.8,          89.3
Danville Police Dept,VA,12,      44442,         175,           8,           7,,          80,          80,       2319,         516,       1733,          70,         393.8,          18.0,          15.8,,         180.0,         180.0,       5218.0,       1161.1,       3899.5,         157.5
Dinwiddie County Sheriff Department,VA,12,,          51,           3,           8,,          11,          29,         473,         128,         304,          41,,,,,,,,,,
Fairfax (City) Police Dept,VA,12,      24194,          25,           0,           1,,          14,          10,         625,          35,         568,          22,         103.3,            .0,           4.1,,          57.9,          41.3,       2583.3,         144.7,       2347.7,          90.9
Fairfax County Police Department,VA,12,,         705,          13,          98,,         326,         268,      17828,       1481,      15317,       1030,,,,,,,,,,
Falls Church Police Dept,VA,12,      11301,          16,           0,           3,,           6,           7,         315,          18,         279,          18,         141.6,            .0,          26.5,,          53.1,          61.9,       2787.4,         159.3,       2468.8,         159.3
Fauquier County Sheriff Office,VA,12,,          60,           2,          10,,          12,          36,         593,         118,         444,          31,,,,,,,,,,
Fluvanna County Sheriff Department,VA,12,,          19,           0,           6,,           3,          10,         219,          39,         155,          25,,,,,,,,,,
Franklin County Sheriff Office,VA,12,,          45,           2,           4,,           7,          32,         566,         117,         412,          37,,,,,,,,,,
Frederick County Sheriff Office,VA,12,,          99,           3,          35,,          23,          38,       1416,         304,       1019,          93,,,,,,,,,,
Fredericksburg Police Dept,VA,12,      23326,         114,           2,           6,,          22,          84,       1096,          93,         977,          26,         488.7,           8.6,          25.7,,          94.3,         360.1,       4698.6,         398.7,       4188.5,         111.5
Front Royal Police Dept,VA,12,      14731,          33,           0,           7,,          11,          15,         600,          56,         520,          24,         224.0,            .0,          47.5,,          74.7,         101.8,       4073.0,         380.2,       3530.0,         162.9
Gloucester County Sheriff Office,VA,12,,          35,           0,           5,,           8,          22,         483,          49,         402,          32,,,,,,,,,,
