Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/

Crime in 2004

,,,,Number of offenses reported,,,,,,,,,,"Crime rate per 100,000 population",,,,,,,,,,,
,,,,Violent crime,,,,,,Property crime,,,,Violent crime,,,,,,Property crime,,,,,

Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,
Accomack County Sheriff Office,VA,12,,          53,           1,          11,,          19,          22,         452,          71,         342,          39,,,,,,,,,,
Albemarle County Police Department,VA,12,,         125,           1,          29,,          20,          75,       1761,         212,       1470,          79,,,,,,,,,,
Alexandria Police Dept,VA,12,     130206,         378,           2,          30,,         161,         185,       3445,         351,       2523,         571,         290.3,           1.5,          23.0,,         123.7,         142.1,       2645.8,         269.6,       1937.7,         438.5
Amherst County Sheriff Office,VA,12,,          36,           1,          10,,          10,          15,         339,          47,         261,          31,,,,,,,,,,
Arlington County Police Department,VA,12,,         407,           1,          27,,         179,         200,       4651,         354,       3811,         486,,,,,,,,,,
Augusta County Sheriff Office,VA,12,,          86,           4,           7,,          10,          65,         845,         173,         606,          66,,,,,,,,,,
Bedford County Sheriff Office,VA,12,,          57,           0,          14,,           2,          41,         686,         145,         505,          36,,,,,,,,,,
Blacksburg Police Dept,VA,12,      40465,          58,           1,          13,,           9,          35,         636,         111,         498,          27,         143.3,           2.5,          32.1,,          22.2,          86.5,       1571.7,         274.3,       1230.7,          66.7
Botetourt County Sheriff Office,VA,12,,          31,           0,           2,,           2,          27,         377,          40,         321,          16,,,,,,,,,,
Bristol Police Dept,VA,12,      17377,          94,           1,           7,,          24,          62,         670,         108,         527,          35,         540.9,           5.8,          40.3,,         138.1,         356.8,       3855.7,         621.5,       3032.7,         201.4
Campbell County Sheriff Office,VA,12,,          66,           1,          14,,          10,          41,         586,         133,         411,          42,,,,,,,,,,
Caroline County Sheriff Office,VA,8,,          85,           0,           6,,           4,          75,         215,          28,         165,          22,,,,,,,,,,
Carroll County Sheriff Office,VA,12,,          41,           1,           2,,           4,          34,         315,          97,         179,          39,,,,,,,,,,
Charlottesville Police Dept,VA,12,      39552,         320,           4,          30,,          68,         218,       1618,         221,       1247,         150,         809.1,          10.1,          75.8,,         171.9,         551.2,       4090.8,         558.8,       3152.8,         379.2
Chesapeake Police Dept,VA,12,     212932,       1111,          12,          61,,         295,         743,       7723,       1296,       5803,         624,         521.8,           5.6,          28.6,,         138.5,         348.9,       3627.0,         608.6,       2725.3,         293.1
Chesterfield County Police Department,VA,12,,         528,           9,          51,,         203,         265,       7766,       1393,       5903,         470,,,,,,,,,,
Christiansburg Police Dept,VA,12,      17933,          27,           2,           7,,           5,          13,         658,         106,         529,          23,         150.6,          11.2,          39.0,,          27.9,          72.5,       3669.2,         591.1,       2949.9,         128.3
Colonial Heights Police Dept,VA,12,      17458,          51,           3,           4,,          20,          24,         779,          73,         672,          34,         292.1,          17.2,          22.9,,         114.6,         137.5,       4462.1,         418.1,       3849.2,         194.8
Culpeper County Sheriff Office,VA,12,,          29,           0,           5,,           5,          19,         256,          40,         200,          16,,,,,,,,,,
Culpeper Town Police Dept,VA,12,      10546,          39,           0,           7,,           7,          25,         465,          35,         413,          17,         369.8,            .0,          66.4,,          66.4,         237.1,       4409.3,         331.9,       3916.2,         161.2
Danville Police Dept,VA,12,      47456,         298,           3,          15,,          92,         188,       2228,         270,       1840,         118,         628.0,           6.3,          31.6,,         193.9,         396.2,       4694.9,         568.9,       3877.3,         248.7
Dinwiddie County Sheriff Department,VA,12,,          39,           4,           6,,           5,          24,         592,          48,         489,          55,,,,,,,,,,
Fairfax County Police Department,VA,12,,         594,           2,          32,,         354,         206,      15400,         137,      13918,       1345,,,,,,,,,,
Falls Church Police Dept,VA,12,      10589,          25,           1,           2,,           8,          14,         401,          35,         316,          50,         236.1,           9.4,          18.9,,          75.6,         132.2,       3786.9,         330.5,       2984.2,         472.2
Fauquier County Sheriff Office,VA,12,,          62,           0,           3,,           6,          53,         678,          78,         563,          37,,,,,,,,,,
Fluvanna County Sheriff Department,VA,12,,          31,           0,           6,,           2,          23,         232,          44,         166,          22,,,,,,,,,,
Franklin County Sheriff Office,VA,12,,          49,           2,          10,,           2,          35,         592,          88,         442,          62,,,,,,,,,,
Frederick County Sheriff Office,VA,12,,          70,           1,          23,,          14,          32,       1131,         208,         820,         103,,,,,,,,,,
Fredericksburg Police Dept,VA,12,      20390,          95,           2,          12,,          24,          57,       1009,          78,         853,          78,         465.9,           9.8,          58.9,,         117.7,         279.5,       4948.5,         382.5,       4183.4,         382.5
Front Royal Police Dept,VA,12,      14301,          38,           0,           9,,           8,          21,         554,          52,         466,          36,         265.7,            .0,          62.9,,          55.9,         146.8,       3873.9,         363.6,       3258.5,         251.7
Gloucester County Sheriff Office,VA,12,,          31,           1,          10,,           6,          14,         415,          45,         355,          15,,,,,,,,,,
Halifax County Sheriff Department,VA,12,,          24,           1,           4,,           5,          14,         353,          65,         269,          19,,,,,,,,,,
Hampton Police Dept,VA,12,     148339,         579,          14,          50,,         222,         293,       4888,         763,       3583,         542,         390.3,           9.4,          33.7,,         149.7,         197.5,       3295.2,         514.4,       2415.4,         365.4
Hanover,VA,12,,          49,           3,          11,,          17,          18,       1188,         115,       1002,          71,,,,,,,,,,
Harrisonburg Police Dept,VA,12,      41580,         120,           1,          20,,          27,          72,       1290,         302,         907,          81,         288.6,           2.4,          48.1,,          64.9,         173.2,       3102.5,         726.3,       2181.3,         194.8
Henrico County Police Dept,VA,12,,         662,          17,          28,,         291,         326,      10750,       1625,       8363,         762,,,,,,,,,,
Henry County Sheriff Office,VA,12,,         177,           7,          12,,          39,         119,       1329,         303,         917,         109,,,,,,,,,,
