Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/

Crime in 2000

,,,,Number of offenses reported,,,,,,,,,,"Crime rate per 100,000 population",,,,,,,,,,,
,,,,Violent crime,,,,,,Property crime,,,,Violent crime,,,,,,Property crime,,,,,

Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,
Accomack County Sheriff Office,VA,12,,          80,           1,           8,,          31,          40,         609,         159,         381,          69,,,,,,,,,,
Albemarle County Police Department,VA,12,,         122,           2,          22,,          17,          81,       2026,         361,       1580,          85,,,,,,,,,,
Alexandria Police Dept,VA,12,     128283,         314,           0,          19,,         147,         148,       4985,         525,       3740,         720,         244.8,            .0,          14.8,,         114.6,         115.4,       3885.9,         409.3,       2915.4,         561.3
Amherst County Sheriff Office,VA,12,,          26,           4,           4,,           0,          18,         271,          45,         211,          15,,,,,,,,,,
Arlington County Police Department,VA,6,,         190,           1,          17,,          72,         100,       2297,         220,       1844,         233,,,,,,,,,,
Augusta County Sheriff Office,VA,12,,          72,           2,           8,,           5,          57,         740,         182,         534,          24,,,,,,,,,,
Bedford County Sheriff Office,VA,12,,          59,           2,          11,,           2,          44,         475,          93,         366,          16,,,,,,,,,,
Blacksburg Police Dept,VA,12,      39573,          59,           0,           5,,           5,          49,         658,          98,         537,          23,         149.1,            .0,          12.6,,          12.6,         123.8,       1662.7,         247.6,       1357.0,          58.1
Botetourt County Sheriff Office,VA,12,,          31,           2,          10,,           1,          18,         338,          37,         278,          23,,,,,,,,,,
Bristol Police Dept,VA,12,      17367,          61,           2,           1,,           6,          52,         440,          58,         355,          27,         351.2,          11.5,           5.8,,          34.5,         299.4,       2533.5,         334.0,       2044.1,         155.5
Campbell County Sheriff Office,VA,12,,          66,           1,          12,,           9,          44,         702,         132,         522,          48,,,,,,,,,,
Caroline County Sheriff Office,VA,12,,          79,           2,           9,,           4,          64,         220,          74,         135,          11,,,,,,,,,,
Carroll County Sheriff Office,VA,12,,          44,           2,           5,,           5,          32,         381,         104,         234,          43,,,,,,,,,,
Charlottesville Police Dept,VA,12,      45049,         401,           3,          19,,         102,         277,       1934,         360,       1436,         138,         890.1,           6.7,          42.2,,         226.4,         614.9,       4293.1,         799.1,       3187.6,         306.3
Chesapeake Police Dept,VA,10,     199184,       1067,          11,          40,,         309,         707,       5827,       1122,       4041,         664,,,,,,,,,,
Chesterfield County Police Department,VA,12,,         551,          11,          62,,         201,         277,       7103,         989,       5677,         437,,,,,,,,,,
Christiansburg Police Dept,VA,12,      16947,          24,           0,           3,,           3,          18,         391,          47,         328,          16,         141.6,            .0,          17.7,,          17.7,         106.2,       2307.2,         277.3,       1935.4,          94.4
Colonial Heights Police Dept,VA,12,      16897,          37,           0,           2,,          16,          19,       1189,         103,       1046,          40,         219.0,            .0,          11.8,,          94.7,         112.4,       7036.8,         609.6,       6190.4,         236.7
Danville Police Dept,VA,12,      48411,         240,           9,          14,,          76,         141,       1955,         318,       1539,          98,         495.8,          18.6,          28.9,,         157.0,         291.3,       4038.3,         656.9,       3179.0,         202.4
Dinwiddie County Sheriff Department,VA,12,,          50,           2,          11,,          14,          23,         558,          86,         432,          40,,,,,,,,,,
Fairfax (City) Police Dept,VA,12,      21498,          34,           0,           5,,           4,          25,         709,          70,         590,          49,         158.2,            .0,          23.3,,          18.6,         116.3,       3298.0,         325.6,       2744.4,         227.9
Fairfax County Police Department,VA,12,,         154,           2,          30,,         107,          15,      10210,       1033,       8864,         313,,,,,,,,,,
Fauquier County Sheriff Office,VA,12,,          76,           0,          11,,          12,          53,         690,         142,         523,          25,,,,,,,,,,
Fluvanna County Sheriff Department,VA,12,,          18,           0,           4,,           1,          13,         181,          39,         129,          13,,,,,,,,,,
Franklin County Sheriff Office,VA,12,,          79,           1,           6,,           8,          64,         520,          73,         405,          42,,,,,,,,,,
Frederick County Sheriff Office,VA,12,,          39,           3,          14,,           3,          19,       1115,         173,         853,          89,,,,,,,,,,
Fredericksburg Police Dept,VA,12,      19279,         105,           2,           8,,          22,          73,       1064,          91,         903,          70,         544.6,          10.4,          41.5,,         114.1,         378.7,       5519.0,         472.0,       4683.9,         363.1
Front Royal Police Dept,VA,12,      13589,          36,           0,           7,,           7,          22,         592,          78,         476,          38,         264.9,            .0,          51.5,,          51.5,         161.9,       4356.5,         574.0,       3502.8,         279.6
Gloucester County Sheriff Office,VA,12,,          41,           2,           5,,           8,          26,         579,          80,         462,          37,,,,,,,,,,
Halifax County Sheriff Department,VA,12,,          65,           2,           2,,          13,          48,         311,          75,         229,           7,,,,,,,,,,
Hampton Police Dept,VA,12,     146437,         486,           9,          40,,         215,         222,       5122,         869,       3642,         611,         331.9,           6.1,          27.3,,         146.8,         151.6,       3497.7,         593.4,       2487.1,         417.2
Hanover,VA,12,,          65,           2,           5,,          16,          42,       1197,         119,       1018,          60,,,,,,,,,,
Harrisonburg Police Dept,VA,12,      40468,         142,           3,          15,,          25,          99,       1394,         199,       1125,          70,         350.9,           7.4,          37.1,,          61.8,         244.6,       3444.7,         491.7,       2780.0,         173.0
Henrico County Police Dept,VA,12,,         588,          10,          35,,         241,         302,      10420,       1441,       8224,         755,,,,,,,,,,
Henry County Sheriff Office,VA,12,,         218,           3,          17,,          40,         158,       1345,         326,         902,         117,,,,,,,,,,
Herndon Police Dept,VA,12,      21655,          58,           0,           4,,          19,          35,         666,          37,         563,          66,         267.8,            .0,          18.5,,          87.7,         161.6,       3075.5,         170.9,       2599.9,         304.8
Hopewell Police Dept,VA,12,      22354,         185,           1,          15,,          48,         121,       1097,         220,         774,         103,         827.6,           4.5,          67.1,,         214.7,         541.3,       4907.4,         984.2,       3462.5,         460.8
James City County Police Department,VA,12,,          68,           1,           9,,          18,          40,         853,         120,         677,          56,,,,,,,,,,
King George County Sheriff Office,VA,12,,          25,           2,           7,,           6,          10,         382,          52,         313,          17,,,,,,,,,,
Leesburg Police Dept,VA,12,      28311,          75,           0,           5,,          17,          53,         565,          34,         494,          37,         264.9,            .0,          17.7,,          60.0,         187.2,       1995.7,         120.1,       1744.9,         130.7
Loudoun County Sheriff Office,VA,12,,         219,           0,          23,,          24,         172,       2776,         262,       2332,         182,,,,,,,,,,
Louisa County Sheriff Office,VA,9,,          28,           2,           3,,           3,          20,         288,          79,         193,          16,,,,,,,,,,
Lynchburg Police Dept,VA,12,      65269,         299,           2,          27,,          88,         182,       2480,         402,       1866,         212,         458.1,           3.1,          41.4,,         134.8,         278.8,       3799.7,         615.9,       2858.9,         324.8
Manassas Police Dept,VA,12,      35135,         136,           2,          22,,          34,          78,       1295,         131,       1012,         152,         387.1,           5.7,          62.6,,          96.8,         222.0,       3685.8,         372.8,       2880.3,         432.6
Manassas Park Police Dept,VA,12,      10290,          17,           0,           1,,           4,          12,         292,          21,         235,          36,         165.2,            .0,           9.7,,          38.9,         116.6,       2837.7,         204.1,       2283.8,         349.9
Martinsville Police Dept,VA,12,      15416,          84,           8,           7,,          21,          48,         688,          80,         564,          44,         544.9,          51.9,          45.4,,         136.2,         311.4,       4462.9,         518.9,       3658.5,         285.4
Montgomery County Sheriff Office,VA,12,,          44,           0,           7,,           3,          34,         649,         156,         401,          92,,,,,,,,,,
Newport News Police Dept,VA,12,     180150,       1347,          20,          96,,         450,         781,       8648,       1461,       5980,       1207,         747.7,          11.1,          53.3,,         249.8,         433.5,       4800.4,         811.0,       3319.5,         670.0
Norfolk Police Dept,VA,12,     234403,       1668,          44,         128,,         769,         727,      14317,       2302,      10261,       1754,         711.6,          18.8,          54.6,,         328.1,         310.1,       6107.9,         982.1,       4377.5,         748.3
Orange County Sheriff Office,VA,12,,          12,           1,           3,,           1,           7,          47,          19,          22,           6,,,,,,,,,,
Petersburg Police Dept,VA,12,      33740,         368,           7,          22,,         133,         206,       2263,         441,       1537,         285,       1090.7,          20.7,          65.2,,         394.2,         610.6,       6707.2,       1307.1,       4555.4,         844.7
