Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/

Crime in 2001

,,,,Number of offenses reported,,,,,,,,,,"Crime rate per 100,000 population",,,,,,,,,,,
,,,,Violent crime,,,,,,Property crime,,,,Violent crime,,,,,,Property crime,,,,,

Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,
Accomack County Sheriff Office,VA,12,,          79,           2,           8,,          41,          28,         537,         181,         308,          48,,,,,,,,,,
Albemarle County Police Department,VA,12,,         142,           2,          15,,          20,         105,       1941,         338,       1533,          70,,,,,,,,,,
Alexandria Police Dept,VA,12,     130262,         408,           3,          31,,         165,         209,       5451,         579,       4152,         720,         313.2,           2.3,          23.8,,         126.7,         160.4,       4184.6,         444.5,       3187.4,         552.7
Amherst County Sheriff Office,VA,12,,          43,           0,          10,,           7,          26,         375,          61,         280,          34,,,,,,,,,,
Arlington County Police Department,VA,12,,         388,           3,          26,,         197,         162,       5936,         490,       4835,         611,,,,,,,,,,
Augusta County Sheriff Office,VA,12,,          77,           2,           9,,           7,          59,         765,         127,         607,          31,,,,,,,,,,
Bedford County Sheriff Office,VA,12,,          56,           0,           9,,           2,          45,         840,         150,         659,          31,,,,,,,,,,
Blacksburg Police Dept,VA,12,      40184,          72,           1,           7,,          12,          52,         703,         118,         551,          34,         179.2,           2.5,          17.4,,          29.9,         129.4,       1749.5,         293.6,       1371.2,          84.6
Botetourt County Sheriff Office,VA,12,,          36,           0,           6,,           6,          24,         408,          44,         336,          28,,,,,,,,,,
Bristol Police Dept,VA,12,      17635,          53,           3,           4,,           7,          39,         615,          74,         509,          32,         300.5,          17.0,          22.7,,          39.7,         221.2,       3487.4,         419.6,       2886.3,         181.5
Campbell County Sheriff Office,VA,12,,          55,           0,          11,,          10,          34,         656,         142,         444,          70,,,,,,,,,,
Caroline County Sheriff Office,VA,12,,          95,           0,          13,,           9,          73,         226,          51,         171,           4,,,,,,,,,,
Carroll County Sheriff Office,VA,12,,          34,           0,           4,,           5,          25,         381,         126,         222,          33,,,,,,,,,,
Charlottesville Police Dept,VA,12,      45744,         463,           3,          25,,          71,         364,       1666,         269,       1281,         116,       1012.2,           6.6,          54.7,,         155.2,         795.7,       3642.0,         588.1,       2800.4,         253.6
Chesapeake Police Dept,VA,5,     202257,           0,           0,           0,,           0,           0,           0,           0,           0,           0,,,,,,,,,,
Chesterfield County Police Department,VA,12,,         570,           8,          58,,         196,         308,       7757,       1210,       6113,         434,,,,,,,,,,
Christiansburg Police Dept,VA,12,      17208,          21,           0,           1,,           2,          18,         432,          68,         344,          20,         122.0,            .0,           5.8,,          11.6,         104.6,       2510.5,         395.2,       1999.1,         116.2
Colonial Heights Police Dept,VA,12,      17158,          48,           0,           2,,          17,          29,         944,          95,         809,          40,         279.8,            .0,          11.7,,          99.1,         169.0,       5501.8,         553.7,       4715.0,         233.1
Culpeper County Sheriff Office,VA,7,,          15,           2,           2,,           1,          10,          90,          12,          73,           5,,,,,,,,,,
Culpeper Town Police Dept,VA,9,       9813,          21,           0,           3,,           4,          14,         265,          23,         232,          10,,,,,,,,,,
Danville Police Dept,VA,12,      49158,         314,           2,          16,,          86,         210,       2086,         327,       1629,         130,         638.8,           4.1,          32.5,,         174.9,         427.2,       4243.5,         665.2,       3313.8,         264.5
Dinwiddie County Sheriff Department,VA,12,,          37,           4,           6,,           8,          19,         731,         127,         573,          31,,,,,,,,,,
Fairfax (City) Police Dept,VA,12,      21830,          59,           0,           6,,           9,          44,         742,          94,         598,          50,         270.3,            .0,          27.5,,          41.2,         201.6,       3399.0,         430.6,       2739.3,         229.0
Fairfax County Police Department,VA,12,,         238,           2,          33,,         165,          38,      13078,       1397,      11277,         404,,,,,,,,,,
