Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/

Crime in 2011

,,,,Number of offenses reported,,,,,,,,,,"Crime rate per 100,000 population",,,,,,,,,,,
,,,,Violent crime,,,,,,Property crime,,,,Violent crime,,,,,,Property crime,,,,,

Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,
Accomack County Sheriff Office,VA,12,,          58,           6,          11,,          16,          25,         563,         145,         391,          27,,,,,,,,,,
Albemarle County Police Department,VA,12,,         106,           1,          21,,          22,          62,       1653,         227,       1375,          51,,,,,,,,,,
Alexandria Police Dept,VA,12,     141638,         252,           1,          14,,         129,         108,       3181,         303,       2506,         372,         177.9,            .7,           9.9,,          91.1,          76.3,       2245.9,         213.9,       1769.3,         262.6
Amherst County Sheriff Office,VA,12,,          28,           0,           7,,           2,          19,         525,          63,         441,          21,,,,,,,,,,
Arlington County Police Department,VA,12,,         325,           0,          23,,         135,         167,       3739,         251,       3310,         178,,,,,,,,,,
Augusta County Sheriff Office,VA,12,,          86,           2,          13,,           7,          64,         817,         124,         653,          40,,,,,,,,,,
Bedford County Sheriff Office,VA,12,,          43,           1,           8,,           4,          30,         834,         278,         520,          36,,,,,,,,,,
Blacksburg Police Dept,VA,12,      43129,          24,           0,           9,,           5,          10,         591,          84,         490,          17,          55.6,            .0,          20.9,,          11.6,          23.2,       1370.3,         194.8,       1136.1,          39.4
Botetourt County Sheriff Office,VA,12,,          23,           0,           2,,           3,          18,         286,          60,         213,          13,,,,,,,,,,
Bristol Police Dept,VA,12,      18048,          57,           1,           8,,          13,          35,         657,         106,         530,          21,         315.8,           5.5,          44.3,,          72.0,         193.9,       3640.3,         587.3,       2936.6,         116.4
Campbell County Sheriff Office,VA,12,,          49,           1,           6,,           7,          35,         797,         147,         607,          43,,,,,,,,,,
Caroline County Sheriff Office,VA,12,,          37,           0,           8,,          10,          19,         497,          75,         403,          19,,,,,,,,,,
Carroll County Sheriff Office,VA,12,,          28,           0,           4,,           2,          22,         552,         165,         349,          38,,,,,,,,,,
Charlottesville Police Dept,VA,12,      43994,         183,           1,          27,,          59,          96,       1467,         114,       1252,         101,         416.0,           2.3,          61.4,,         134.1,         218.2,       3334.5,         259.1,       2845.8,         229.6
Chesapeake Police Dept,VA,12,     224864,         892,          12,          46,,         246,         588,       7163,       1237,       5601,         325,         396.7,           5.3,          20.5,,         109.4,         261.5,       3185.5,         550.1,       2490.8,         144.5
Chesterfield County Police Department,VA,12,,         385,           8,          36,,         145,         196,       6697,       1535,       4925,         237,,,,,,,,,,
Christiansburg Police Dept,VA,12,      21292,          29,           0,           7,,           5,          17,         733,          98,         615,          20,         136.2,            .0,          32.9,,          23.5,          79.8,       3442.6,         460.3,       2888.4,          93.9
Colonial Heights Police Dept,VA,12,      17619,          32,           2,           5,,           7,          18,         924,          58,         839,          27,         181.6,          11.4,          28.4,,          39.7,         102.2,       5244.3,         329.2,       4761.9,         153.2
Culpeper County Sheriff Office,VA,12,,          35,           2,           6,,           3,          24,         295,          65,         199,          31,,,,,,,,,,
Culpeper Town Police Dept,VA,12,      16575,          59,           1,           3,,          14,          41,         438,          37,         385,          16,         356.0,           6.0,          18.1,,          84.5,         247.4,       2642.5,         223.2,       2322.8,          96.5
Danville Police Dept,VA,12,      43569,         166,           7,          28,,          64,          67,       2080,         464,       1546,          70,         381.0,          16.1,          64.3,,         146.9,         153.8,       4774.0,       1065.0,       3548.4,         160.7
Dinwiddie County Sheriff Department,VA,12,,          43,           1,           7,,           6,          29,         431,         131,         268,          32,,,,,,,,,,
Fairfax (City) Police Dept,VA,12,      22835,          36,           0,           5,,          12,          19,         546,          39,         492,          15,         157.7,            .0,          21.9,,          52.6,          83.2,       2391.1,         170.8,       2154.6,          65.7
Fairfax County Police Department,VA,12,,         909,          11,          94,,         421,         383,      14775,       1007,      12898,         870,,,,,,,,,,
Falls Church Police Dept,VA,12,      12479,          10,           0,           0,,           5,           5,         226,          21,         191,          14,          80.1,            .0,            .0,,          40.1,          40.1,       1811.0,         168.3,       1530.6,         112.2
Fauquier County Sheriff Office,VA,12,,          38,           1,          11,,           7,          19,         684,         114,         535,          35,,,,,,,,,,
Fluvanna County Sheriff Department,VA,12,,          13,           0,           2,,           2,           9,         214,          38,         156,          20,,,,,,,,,,
Franklin County Sheriff Office,VA,12,,          39,           2,           4,,           5,          28,         632,         118,         466,          48,,,,,,,,,,
Frederick County Sheriff Office,VA,12,,          76,           2,          33,,          13,          28,       1513,         337,       1088,          88,,,,,,,,,,
Fredericksburg Police Dept,VA,12,      24576,         101,           1,           3,,          24,          73,       1063,         100,         932,          31,         411.0,           4.1,          12.2,,          97.7,         297.0,       4325.4,         406.9,       3792.3,         126.1
Front Royal Police Dept,VA,12,      14612,          17,           0,           6,,           6,           5,         492,          55,         411,          26,         116.3,            .0,          41.1,,          41.1,          34.2,       3367.1,         376.4,       2812.8,         177.9
Gloucester County Sheriff Office,VA,12,,          35,           8,           3,,           7,          17,         522,          76,         421,          25,,,,,,,,,,
Halifax County Sheriff Department,VA,12,,          32,           1,           7,,           4,          20,         430,         127,         272,          31,,,,,,,,,,
Hampton Police Dept,VA,12,     139078,         350,           9,          19,,         155,         167,       5273,         820,       4180,         273,         251.7,           6.5,          13.7,,         111.4,         120.1,       3791.4,         589.6,       3005.5,         196.3
Hanover,VA,12,,          53,           2,           2,,           6,          43,       1112,         124,         925,          63,,,,,,,,,,
Harrisonburg Police Dept,VA,12,      49498,          99,           1,          13,,          19,          66,       1060,         158,         866,          36,         200.0,           2.0,          26.3,,          38.4,         133.3,       2141.5,         319.2,       1749.6,          72.7
Henrico County Police Dept,VA,12,,         428,          10,          31,,         232,         155,       7634,       1276,       5986,         372,,,,,,,,,,
Henry County Sheriff Office,VA,12,,         168,           7,           9,,          21,         131,       1538,         423,       1039,          76,,,,,,,,,,
Herndon Police Dept,VA,12,      23570,          44,           0,           4,,          13,          27,         393,          24,         358,          11,         186.7,            .0,          17.0,,          55.2,         114.6,       1667.4,         101.8,       1518.9,          46.7
Hopewell Police Dept,VA,12,      22861,         140,           2,           5,,          39,          94,         954,         306,         588,          60,         612.4,           8.7,          21.9,,         170.6,         411.2,       4173.0,       1338.5,       2572.1,         262.5
James City County Police Department,VA,12,,          80,           2,          19,,          16,          43,         971,         161,         786,          24,,,,,,,,,,
King George County Sheriff Office,VA,12,,          22,           0,           8,,           4,          10,         335,          65,         247,          23,,,,,,,,,,
Leesburg Police Dept,VA,12,      43125,          58,           0,           5,,           6,          47,         826,          53,         753,          20,         134.5,            .0,          11.6,,          13.9,         109.0,       1915.4,         122.9,       1746.1,          46.4
Loudoun County Sheriff Office,VA,12,,         237,           1,          45,,          36,         155,       2800,         269,       2377,         154,,,,,,,,,,
Louisa County Sheriff Office,VA,12,,          28,           0,          10,,           0,          18,         324,          63,         261,           0,,,,,,,,,,
Lynchburg Police Dept,VA,12,      76471,         278,           3,          22,,          72,         181,       2469,         515,       1855,          99,         363.5,           3.9,          28.8,,          94.2,         236.7,       3228.7,         673.5,       2425.8,         129.5
Manassas Police Dept,VA,12,      38273,         129,           4,          17,,          52,          56,         831,         121,         653,          57,         337.1,          10.5,          44.4,,         135.9,         146.3,       2171.2,         316.1,       1706.2,         148.9
Manassas Park Police Dept,VA,12,      14444,          10,           0,           2,,           3,           5,         172,          12,         147,          13,          69.2,            .0,          13.8,,          20.8,          34.6,       1190.8,          83.1,       1017.7,          90.0
Martinsville Police Dept,VA,12,      13986,          45,           2,           2,,          14,          27,         498,          68,         409,          21,         321.8,          14.3,          14.3,,         100.1,         193.1,       3560.7,         486.2,       2924.4,         150.2
Montgomery County Sheriff Office,VA,12,,          32,           0,          11,,           1,          20,         508,         144,         349,          15,,,,,,,,,,
Newport News Police Dept,VA,12,     182878,         845,          15,          52,,         388,         390,       6041,       1094,       4592,         355,         462.1,           8.2,          28.4,,         212.2,         213.3,       3303.3,         598.2,       2511.0,         194.1
Norfolk Police Dept,VA,12,     245704,       1424,          29,          81,,         625,         689,      12258,       2256,       9217,         785,         579.6,          11.8,          33.0,,         254.4,         280.4,       4988.9,         918.2,       3751.3,         319.5
