location_id,location_type,location_name,lat,long
1,college,Columbia College - Centreville Campus,38.8379176402538,-77.4343680255215
2,college,South University - Richmond Campus,37.6470897123437,-77.5998885239418
3,college,Virginia University of Lynchburg,37.3951917118665,-79.1514773227152
4,college,Randolph College,37.4372707536034,-79.171929141923
5,college,Stratford University - Alexandria Campus,38.8023079820338,-77.0829535461592
6,college,Jefferson College of Health Science,37.2652058640014,-79.9409416516817
7,college,Appalachian School of Law,37.2779310553942,-82.0965430633484
8,college,Piedmont Virginia Community College,38.0065634328493,-78.4842216124107
9,college,Paul D. Camp Community College - Hobbs Suffolk Campus,36.7254065536567,-76.6553972317992
10,college,Christendom College,38.9519359646907,-78.1461028101078
11,college,Southside Virginia Community College - Christanna Campus,36.8391132842916,-77.9179973254433
12,college,Northern Virginia Community College - Annandale Campus,38.8344220600627,-77.2364536473385
13,college,Southside Virginia Community College - Southside Virginia Education Center,36.7366454338353,-77.5149585738259
14,college,Centura Colege - Norfolk Campus,36.90754306459,-76.2323554952227
15,college,Central Michigan University - Fort Belvior Center,38.6966936315397,-77.1383922295022
16,college,Florida Institute of Technology - Fort Lee Graduate,37.2235235752834,-77.3448868086293
17,college,Hollins University,37.3555489002582,-79.940136433302
18,college,Fortis College - Norfolk Campus,36.8469732189562,-76.1901734939708
19,college,Patrick Henry Community College,36.7382256193798,-79.8697109431733
20,college,Emory and Henry College,36.7725091337502,-81.831835302021
21,college,Art Institute of Washington,38.8957613605225,-77.0726925541994
22,college,Virginia Tech - Southwest Virginia Center,36.7575043608534,-82.0904757350199
23,college,Chester Career College,37.3489047639486,-77.3741863219199
24,college,Tidewater Tech,36.872770707545,-76.2200774665481
25,college,Virginia Theological Seminary,38.8202862930732,-77.0919436205196
26,college,Marymount University,38.9061192186138,-77.1294227436298
27,college,Hampton University,37.0207949162072,-76.3402916465146
28,college,Strayer University - Arlington,38.891193399032,-77.0853925458174
29,college,Florida Institute of Technology - Hampton Roads,37.1544985111705,-76.5742465973899
30,college,ECPI College of Technology - Newport News Campus,37.0910028064424,-76.4622105477176
31,college,Bluefield State College,37.2653913567059,-81.2433305843551
32,college,Virginia Tech - Northern Virginia Center,38.8966054449235,-77.1892645067616
33,college,Fortis College - Richmond Campus,37.5810602891201,-77.4879917023589
34,college,Park University - Fort Myer,38.875688261081,-77.0820074153491
35,college,Lord Fairfax Community College - Middletown Campus,39.0356951447675,-78.2675636576525
36,college,George Washington University Hampton Roads Center,37.1043535017776,-76.479605774611
37,college,Danville Community College,36.5652229930093,-79.4086433714997
38,college,Johns Hopkins University - Whiting School of Engineering,38.8517870553503,-77.0512221451724
39,college,Aviation Institute of Maintenance - Chesapeake Campus,36.7783903514883,-76.2687079189641
40,college,Lord Fairfax Community College - Fauquier Campus,38.6812643617596,-77.7860817094505
41,college,ECPI College of Technology - Innsbrook Campus,37.6535662477317,-77.5792370119414
42,college,Old Dominion University,36.888389815206,-76.3046796393831
43,college,Advanced Technology Institute - Miller Store Campus,36.8953442110705,-76.1914585267982
44,college,Northeast State Community College,36.4841284954292,-82.409941245027
45,college,DeVry University - Chesapeake Campus,36.769839068616,-76.2351738327642
46,college,East Tennessee State University,36.3299954311434,-82.3776348755461
47,college,Bon Secours Memorial College of Nursing,37.6467683432938,-77.433100748794
48,college,Paul D. Camp Community College - Franklin Campus,36.6710485371575,-76.9369838028177
49,college,Lincoln Memorial University,36.5793252622812,-83.6599732637542
50,college,University of Maryland University College - Fort Belvoir,38.6974897731718,-77.1388327013338
51,college,Virginia Tech Carilion School of Medicine,37.2573835663786,-79.9423223613751
52,college,ECPI College of Technology - Richmond Southside Campus,37.5008297463154,-77.5813092591136
53,college,University of Lynchburg,37.398535761766,-79.1812074551154
54,college,George Mason University - Prince William Campus,38.7560969176152,-77.5221188643943
55,college,Strayer University - Alexandria Campus,38.8011201602571,-77.0741123199463
56,college,ECPI College of Technology - Northern Virginia Campus,38.8049305438008,-77.4996658044478
57,college,Blue Ridge Community College,38.2788013292085,-78.9375985335622
58,college,Old Dominion University - Virginia Beach Higher Education Center,36.7810524576943,-76.095398219445
59,college,J. Sargeant Reynolds Community College - Parham Road Campus,37.6375166708369,-77.4731671277203
60,college,National College - Princeton Campus,37.3628267329826,-81.0374728236279
61,college,Tidewater Community College - Norfolk Campus,36.8501067649978,-76.2899830288584
62,college,University of Virginia,38.03471848625,-78.5093601984756
63,college,Mountain Empire Community College,36.8548608868432,-82.7584356759982
64,college,Southern Virginia Higher Education Center,36.6954821637655,-78.9020262759837
65,college,Lord Fairfax Community College - Luray-Page County Center,38.6694595503272,-78.4620846130188
66,college,University of Phoenix - Arlington Learning Center,38.8572774635731,-77.0515037948618
67,college,Centura College - Chesapeake Campus,36.766023563119,-76.2292141190135
68,college,Centura College - Virginia Beach Campus,36.837986088248,-76.0629632758941
69,college,ECPI College of Technology - Richmond West End Campus,37.6093430468512,-77.5260446710692
70,college,Northeast State at Kingsport,36.5459331625199,-82.5632873111863
71,college,Stratford University - Neport News Campus,37.0852570075048,-76.4585087512302
72,college,Rappahannock Community College - Kilmarnock Center,37.7193000969616,-76.3861114608495
73,college,Averett University,36.5773266132447,-79.4131360034407
74,college,"Virginia Tech - Hampton Roads Center, Newport News",37.0831350436781,-76.4794900689075
75,college,ECPI College of Technology - Virginia Beach Campus,36.8426394733598,-76.1788530972369
76,college,New River Community College,37.1053118418456,-80.6959935765606
77,college,University of Management and Technology,38.8969444954042,-77.0709940268467
78,college,Regent University,36.8025893481568,-76.1940046541474
