elements__tags__name,elements__lat,elements__lon
Synetic Theater,38.856916,-77.0512468
Union Stage,38.8787165,-77.0240633
Klein Theatre,38.3049984,-77.4773926
Stone Ridge Amphitheater,38.9368814,-77.5477236
Amphitheater,36.8914669,-76.4430344
Southwood Stage,39.2394231,-81.5509916
Vern Riffe Center for the Arts,38.7318929,-82.9942101
Greenberg Theatre,38.9435748,-77.0776239
Wilson Hall,38.4380015,-78.8731188
,37.6284803,-78.8168675
,38.9050272,-78.2081106
Beacon Theatre,37.3049373,-77.2872528
Benjack Studio Theater,36.8507226,-76.2902509
Greenbelt Arts Center,39.001763,-76.8764716
Huntington Dance Theatre,38.4200454,-82.4453175
Huntington Dance Theatre,38.420467,-82.4451314
,36.8322345,-76.3689011
Black Box Theater,38.9968287,-77.0272571
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Matoaka Amphitheatre,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
McIntire Ampitheatre,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Olney Theatre,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
H Street Playhouse,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
DAR Constitution Hall,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Lisner Auditorium,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Kennedy Center,,
,,
,,
,,
,,
Sylvan Theatre,,
,,
,,
,,
,,
The Source Theater,,
,,
,,
,,
,,
,,
,,
,,
Howard Theatre,,
,,
,,
,,
,,
,,
,,
Teatro de la Luna,,
,,
,,
,,
,,
,,
,,
,,
,,
Mane Auditorium,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Royal Stage,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Market Stage,,
,,
,,
,,
,,
Lyric Stage,,
,,
,,
,,
,,
Globe Theater,,
,,
,,
,,
,,
,,
,,
Blackfriar's Theatre,,
,,
,,
,,
,,
,,
,,
,,
,,
Whiteside Ampitheatre,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Globe Theatre,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Royal Palace Theatre,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Harris Theatre,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Concert Hall,,
,,
,,
,,
,,
,,
,,
,,
Liberty University Tower Theater,,
,,
,,
,,
,,
,,
James Weldon Johnson Auditorium Building,,
,,
,,
,,
,,
Ford's Theatre,,
,,
,,
,,
,,
,,
,,
,,
Baker Park Band Shell,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Signature Theatre,,
,,
,,
,,
,,
,,
,,
,,
Filene Center,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Birchmere,,
,,
,,
,,
,,
Johns Auditorium,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Fortune Stage,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Waterworks Theatre,,
,,
,,
,,
,,
,,
,,
,,
,,
The Weinberg Center for the Arts,,
,,
,,
,,
,,
The State Theatre,,
,,
,,
,,
,,
Ohrstrom-Bryant Theatre,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Maryland Hall Center for the Performing Arts,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Rachel M. Schlesinger Concert Hall & Arts Center (AS),,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Richmond CenterStage,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
The National,,
,,
,,
,,
,,
,,
,,
Crute Stage,,
,,
,,
,,
,,
Altria Theater,,
,,
,,
,,
,,
Peanuts Showplace,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Dogwood Dell Amphitheater,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Arena Stage (Mead Center for American Theater),,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Ashland Theatre,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Blackwell Auditorium and Cobb Theatre,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Abbey Stone Theatre,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Il Teatro di San Marco,,
,,
,,
,,
,,
,,
,,
,,
,,
Wayne Theatre Gateway,,
,,
,,
,,
,,
Barter Theater,,
,,
,,
,,
,,
,,
,,
,,
,,
Blackfriars Playhouse,,
,,
,,
,,
,,
Theater,,
,,
,,
,,
,,
,,
Peninsula Community Theater,,
,,
,,
,,
,,
,,
Centre Theater,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Sprint Pavilion,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
The Paramount Theater,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Jenkins Greek Theatre,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Ampitheatre,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
The Robinson Theater,,
,,
,,
,,
,,
Gaines Theatre,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Dance Place,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Hartke Theatre,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Amphitheater,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Thomas-Rice Auditorium,,
,,
,,
,,
,,
,,
,,
,,
,,
Stage,,
,,
,,
,,
,,
Francis Scott Key Auditorium,,
,,
,,
,,
,,
,,
Coalition Theater,,
,,
,,
,,
,,
The November Theatre,,
,,
,,
,,
,,
Virginia Repertory Theatre,,
,,
,,
,,
,,
Academy of Music Theatre,,
,,
,,
,,
,,
Four County Players,,
,,
,,
,,
,,
Schoenbaum Stage,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Grafton-Stovall Theatre,,
,,
,,
,,
,,
,,
,,
Vagabond Theatre,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Center Stage,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Illusions Magic Bar & Theatre,,
,,
,,
,,
,,
,,
,,
,,
,,
Le Mondo,,
,,
,,
,,
,,
,,
,,
,,
,,
Arena Players,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
The Patricia and Arthur Modell Performing Arts Center at the Lyric,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Everyman Theatre,,
,,
,,
,,
,,
,,
The Hippodrome Theatre at the France-Merrick Performing Arts Center,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Senator Theatre,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Annapolis Summer Garden Theater,,
,,
,,
,,
,,
Circle Theatre,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Hofheimer Theater,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Delbarton Opry House,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Newton W Edwards Amphitheater,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Smoot Theatre,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Mountain Lakes Ampitheatre,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Virginia Beach Amphitheater,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Chrysler Hall,,
,,
,,
,,
,,
Harrison Opera House,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Granby Theater,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Wells Theater,,
,,
,,
,,
,,
,,
The NorVa,,
,,
,,
,,
,,
,,
,,
Lime Kiln Theatre,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Amphitheatre,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Amphitheater,,
,,
,,
,,
,,
Landmark,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Larenim Park Ampitheatre,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Swirnow Theater,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Templeton-Blackburn Memorial Auditorium,,
,,
,,
,,
,,
Winchester Little Theatre,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Willet Hall,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
The Estates at Horsepen Amphitheater,,
,,
,,
,,
,,
,,
Campfire Circle,,
,,
,,
,,
,,
,,
,,
,,
,,
Ha' Penny Stage,,
,,
,,
,,
,,
Amphitheater,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Amphitheater,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Culpeper State Theater,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Amphitheater,,
,,
,,
,,
,,
Cinemark,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Dunbar Middle School Theater,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Bowie Playhouse,,
,,
,,
,,
,,
Amphitheater,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Amphitheater,,
,,
,,
,,
,,
The Forum,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Amphitheater,,
,,
,,
,,
,,
Artillery Amphitheater,,
,,
,,
,,
,,
,,
,,
,,
,,
Hollins University Theatre,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Smithfield Little Theater,,
,,
,,
,,
,,
,,
,,
,,
,,
Amphitheater,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
OA Ring,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Amphitheater,,
,,
,,
,,
,,
,,
,,
,,
,,
Campfire Circle,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Barboursville Park Amphitheater,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Amphitheater,,
,,
,,
,,
,,
,,
,,
Theater,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Chrysalis,,
,,
,,
,,
,,
,,
,,
,,
Sunday Service & Amphitheatre,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Olney Theatre,,
,,
,,
,,
Yoder Barn,,
,,
,,
Hippodrome Theater,,
,,
Ferguson Center for the Arts,,
,,
,,
,,
,,
,,
,,
,,
,,
Black Cherry Puppet Theater,,
,,
,37.2513039,-83.1959911
,37.2515343,-83.195841
,37.2513836,-83.1957195
,37.2512755,-83.195816
,37.2420459,-83.1860095
,37.2419241,-83.18578
,37.2418247,-83.1858646
,37.241578,-83.1858215
,37.2415875,-83.1852325
,37.2416548,-83.1851157
,37.2418535,-83.1851519
,37.2418809,-83.1852959
,37.2420779,-83.1853492
,37.2422638,-83.1855626
,37.2423471,-83.1857035
,36.7106468,-81.975001
,36.7106628,-81.975109
,36.7106909,-81.9750236
,36.7106958,-81.9748521
,36.7108828,-81.9752218
,36.7109125,-81.9751317
,36.7110063,-81.9751798
,36.7110538,-81.9750356
,37.7098555,-82.1833498
,37.7099211,-82.1831522
,37.7100961,-82.1833175
,37.7101025,-82.1834808
,37.7101165,-82.1832558
,37.7101476,-82.1833448
,37.6889578,-81.6235234
,37.6887746,-81.6233154
,37.6886827,-81.6234873
,37.6889006,-81.6236275
,38.4056569,-82.4358232
,38.4055675,-82.4357629
,38.4054688,-82.435724
,38.4052953,-82.4357213
,38.405205,-82.4357682
,38.4051472,-82.4358259
,38.40505,-82.4359949
,38.4052785,-82.436412
,38.4051198,-82.4361759
,38.4053773,-82.4357119
,38.4057483,-82.4359024
,38.4055171,-82.4363744
,38.4053996,-82.4363929
,38.4050675,-82.4361312
,38.4049876,-82.4360802
,38.4050268,-82.4359801
,38.405708,-82.4358675
,38.4054691,-82.436382
,38.4054254,-82.4363888
,38.4053821,-82.4363957
,38.4241809,-82.4436841
,38.424266,-82.4438558
,38.424266,-82.4432583
,38.4243931,-82.4431557
,38.4243815,-82.4436372
,38.4244246,-82.4434206
,38.4244966,-82.4433669
,38.4244283,-82.4437337
,38.4243825,-82.4431642
,38.4244211,-82.4437188
,38.4244176,-82.4434554
,38.4243879,-82.443605
,38.4244848,-82.4433757
,38.4243711,-82.4431735
,38.4242873,-82.4432411
,38.4214744,-82.4286942
,38.4215223,-82.4284175
,38.4212719,-82.4283246
,38.4214327,-82.4287298
,38.4211398,-82.428297
,38.421059,-82.4282738
,38.4209633,-82.4286041
,38.4209793,-82.4286859
,38.4213159,-82.4289364
,38.4213105,-82.428967
,38.4213871,-82.4289889
,38.4214664,-82.4287395
,38.4211415,-82.4282872
,38.4210645,-82.4282426
,38.4209697,-82.4282154
,38.4209042,-82.4285872
,38.4209503,-82.4286776
,38.4209535,-82.4288323
,38.4212741,-82.4283118
,38.4213425,-82.4283314
,38.4214797,-82.428401
,38.421434,-82.4283879
,38.4214843,-82.4283749
,38.4214386,-82.4283618
,38.4214055,-82.4280699
,38.4216033,-82.4281267
,38.4213824,-82.4282006
,38.4215803,-82.4282574
,38.4215367,-82.4283362
,38.421351,-82.4282829
,38.421316,-82.4282208
,38.4213235,-82.428223
,38.4215656,-82.4283445
,38.4215732,-82.4283013
,38.421605,-82.4283105
,38.4213073,-82.4282704
,38.4213301,-82.4281856
,38.4216127,-82.4282668
,38.4215028,-82.4286968
,38.4215338,-82.4286881
,38.4215617,-82.4286687
,38.4215841,-82.42864
,38.4215993,-82.4286044
,38.421606,-82.4285648
,38.4216038,-82.4285244
,38.4215926,-82.4284864
,38.4215736,-82.428454
,38.4215482,-82.4284298
,38.4215801,-82.4286452
,38.421602,-82.4285883
,38.4215815,-82.4284674
,38.4214696,-82.4287214
,38.3952449,-82.2992039
,38.3953135,-82.2990426
,38.395162,-82.2989377
,38.3950934,-82.299099
,38.3650976,-81.7564281
,38.365324,-81.7563872
,38.3653224,-81.7563237
,38.3653095,-81.7562643
,38.3652887,-81.756205
,38.365027,-81.7562561
,38.3650495,-81.7562848
,38.3650735,-81.7563258
,38.3650928,-81.7563831
,38.3652614,-81.7561456
,38.3652148,-81.7560862
,38.3651602,-81.7560371
,38.3491925,-81.6383616
,38.3492309,-81.6384239
,38.3492448,-81.6382732
,38.3492529,-81.6382807
,38.3492903,-81.6384904
,38.3493001,-81.638199
,38.3493622,-81.6385581
,38.3494209,-81.6384781
,38.3494246,-81.6382563
,38.3494276,-81.6384856
,38.3494629,-81.6382995
,38.3494806,-81.6384264
,38.3495035,-81.6383315
,38.3493767,-81.638183
,38.7943818,-81.6821468
,38.7943463,-81.6821293
,38.7943275,-81.6820985
,38.794317,-81.682069
,38.7942125,-81.6821535
,38.7942355,-81.6822044
,38.79427,-81.68225
,38.7943055,-81.6822742
,38.794362,-81.6822849
,38.6720375,-80.7777739
,38.6721632,-80.7777264
,38.6721322,-80.7775917
,38.6720065,-80.7776392
,38.6646403,-80.7073151
,38.6645582,-80.707323
,38.6645534,-80.7072404
,38.664482,-80.7072472
,38.6644762,-80.7071483
,38.664542,-80.707142
,38.6645394,-80.7070973
,38.6646206,-80.7070895
,38.6646237,-80.7071413
,38.6646485,-80.7071389
,38.6646555,-80.7072599
,38.6646372,-80.7072616
,38.6960423,-80.6630284
,38.6960618,-80.6629202
,38.6960955,-80.6628969
,38.6961559,-80.6634117
,38.6962195,-80.6634078
,38.6962513,-80.6627962
,38.6962685,-80.6627843
,38.6962723,-80.663398
,38.6963478,-80.6633549
,38.6963512,-80.6633647
,38.6963551,-80.6628343
,38.6963769,-80.6633383
,38.6963794,-80.6633454
,38.6964406,-80.6632933
,38.696486,-80.6631199
,38.6965001,-80.6632198
,38.6965088,-80.6631227
,38.6965454,-80.6631064
,38.6965516,-80.663142
,39.3264186,-82.0990594
,39.3264343,-82.0995499
,39.3268578,-82.0995273
,39.3268421,-82.0990368
,39.266623,-81.5606227
,39.2665073,-81.560521
,39.2663343,-81.5608275
,39.2664512,-81.5609292
,39.266462,-81.5609092
,39.2665156,-81.5609585
,39.2666659,-81.5606565
,37.3556174,-79.9401617
,37.3555918,-79.9401237
,37.3555189,-79.9402013
,37.3555382,-79.9402299
,37.3554035,-79.9404316
,37.3553898,-79.9404461
,37.3554581,-79.9405476
,37.3554727,-79.9405321
,37.3556495,-79.9404065
,37.3556669,-79.9404324
