X,Y,OBJECTID,GPIN,NAME,ADDRESS,WEB_LINK,SP_Y,SP_X,LATI,LONG_,SUB_CATEGORY,CATEGORY,NOTE_
-76.095767497993748,36.786088632417027,250,14855422730000,Joint Use Library,1700 COLLEGE CRES STE E, ,3454639.01826805,12186914.5032704,36.78608863,-76.0957675,Library,,
-76.03812230437785,36.63669717183403,251,24005047420000,Pungo Blackwater Library,920 PRINCESS ANNE RD,,3400701.31282346,12205208.409924,36.63669717,-76.0381223,Library,,
-76.097055824044986,36.830362134986721,252,14876017110000,Windsor Woods Area Library,3612 S PLAZA TRL,,3470743.49426113,12186127.0865382,36.83036213,-76.09705582,Library,,
-75.983558245049906,36.844453637019839,253,24179626270000,Oceanfront Area Library,700 VIRGINIA BEACH BLVD,,3476737.57479264,12219197.1591774,36.84445364,-75.98355825,Library,,
-76.163095780279164,36.815918331222122,254,14667418240000,Kempsville Area Library,832 KEMPSVILLE RD,,3464806.30862896,12166793.2725156,36.81539293,-76.16359622,Library,,
-76.11670200086823,36.843593921330381,255,14870534480000,Central Library,4100 VIRGINIA BEACH BLVD,,3475413.70408081,12180257.3476215,36.84359392,-76.116702,Library,,
-76.132783714746409,36.869009106428706,256,14785449310000,Bayside Library/Special Services Library,936 INDEPENDENCE BLVD,,3484813.76861396,12175304.1537877,36.86974635,-76.132818,Library,,
-76.021908586661951,36.764393246085007,260,24048793000000,Princess Anne Area Library,1468 NIMMO PKWY,,3447302.02933313,12208743.9865142,36.76439325,-76.02190859,Library,,
-76.035646139619672,36.86568865348211,261,24083470830000,Great Neck Area Library,1251 BAYNE DR,,3484064.24156971,12203758.5824431,36.86568865,-76.03564614,Library,,
