X,Y,OBJECTID,GPIN,NAME,ADDRESS,WEB_LINK,SP_Y,SP_X,LATI,LONG_,SUB_CATEGORY,CATEGORY,NOTE_
-76.031226967410987,36.883096066567084,204,24094073730000,Alanton Elementary School,1441 STEPHENS RD,http://www.alantones.vbschools.com/,3490433.62417214,12204885.2055179,36.88309607,-76.03122697,Elementary School,,
-76.09071510873116,36.799926043015695,205,14857997690000,Green Run Elementary School,1200 GREEN GARDEN CIR,http://www.greenrunes.vbschools.com/,3459713.08357921,12188265.0402675,36.79992604,-76.09071511,Elementary School,,
-76.136403362097724,36.856691896868107,206,14784043300000,Pembroke Elementary School,4622 JERICHO RD,http://www.pembrokees.vbschools.com/,3480036.05375996,12174374.6622084,36.8566919,-76.13640336,Elementary School,,
-76.14049167131256,36.897128092484429,207,14792498200000,Hermitage Elementary School,1701 PLEASURE HOUSE RD,http://www.hermitagees.vbschools.com/,3494723.74452888,12172810.9724224,36.89712809,-76.14049167,Elementary School,,
-76.000413524270371,36.747886991935225,208,24145124450000,Red Mill Elementary School,1860 SANDBRIDGE RD,http://www.redmilles.vbschools.com/,3441460.44226305,12215197.4742634,36.74788699,-76.00041352,Elementary School,,
-76.179682562044349,36.895212320428435,209,14691347310000,Bayside Elementary School,5649 BAYSIDE RD,http://www.baysidees.vbschools.com/,3493742.42529731,12161371.4667581,36.89521232,-76.17968256,Elementary School,,
-76.121601079152867,36.846541680665425,210,14778674940000,Thalia Elementary School,421 THALIA RD,http://www.thaliaes.vbschools.com/,3476450.4461018,12178797.171408,36.84654168,-76.12160108,Elementary School,,
-76.128271129426253,36.865206079867448,211,14786362900000,Pembroke Meadows Elementary School,820 CATHEDRAL DR,http://www.pembrokemeadowses.vbschools.com/,3483194.62683913,12176675.3318196,36.86520608,-76.12827113,Elementary School,,
-76.102689178056309,36.822792746932997,212,14864840220000,Windsor Oaks Elementary School,3800 VAN BUREN DR,http://www.windsoroakses.vbschools.com/,3467946.57137729,12184548.8446159,36.82279275,-76.10268918,Elementary School,,
-76.122763675200318,36.798191044232219,213,14758886130000,Parkway Elementary School,4180 O HARE DR,http://www.parkwayes.vbschools.com/,3458843.73459613,12178900.3313067,36.79819104,-76.12276368,Elementary School,,
-75.979865559276092,36.842403907507872,214,24270630010000,Cooke Elementary School,1501 MEDITERRANEAN AVE,http://www.cookees.vbschools.com/,3476020.38692255,12220297.2567147,36.84240391,-75.97986556,Elementary School,,
-76.159807014786324,36.822663284535984,215,14667775070000,Kempsville Elementary School,570 KEMPSVILLE RD,http://www.kempsvillees.vbschools.com/,3467479.99192989,12167836.5506127,36.82266328,-76.15980701,Elementary School,,
-76.186470991407575,36.83155681706328,216,14670014220000,Arrowhead Elementary School,5549 SUSQUEHANNA DR,http://www.arrowheades.vbschools.com/,3470524.66694288,12159954.8606675,36.83155682,-76.18647099,Elementary School,,
-76.103272211625168,36.831642780740566,217,14874141150000,Windsor Woods Elementary School,233 PRESIDENTIAL BLVD,http://www.windsorwoodses.vbschools.com/,3471163.36185971,12184296.4464986,36.83164278,-76.10327221,Elementary School,,
-76.14226513432962,36.817094136073287,218,14763516350000,Kempsville Meadows Elementary School,736 EDWIN DR,http://www.kempsvillemeadowses.vbschools.com/,3465580.73030846,12173020.2164265,36.81709414,-76.14226513,Elementary School,,
-75.991248154461999,36.784968756376891,219,24157541460000,Ocean Lakes Elementary School,1616 UPTON DR,http://www.oceanlakeses.vbschools.com/,3455027.80522013,12217523.1933652,36.78496876,-75.99124815,Elementary School,,
-75.992822494218231,36.812454587730848,220,24166591710000,Seatack Elementary School,912 S BIRDNECK RD,http://www.seatackes.vbschools.com/,3465019.19862314,12216796.56785,36.81245459,-75.99282249,Elementary School,,
-76.134423669247624,36.890294908313706,221,14794251500000,Thoroughgood Elementary School,1444 DUNSTAN LN,http://www.thoroughgoodes.vbschools.com/,3492281.06699955,12174647.1514928,36.89029491,-76.13442367,Elementary School,,
-76.178962468919352,36.816306228440212,222,14662531310000,Fairfield Elementary School,5428 PROVIDENCE RD,http://www.fairfieldes.vbschools.com/,3465027.77636188,12162288.2355939,36.81630623,-76.17896247,Elementary School,,
-76.189962160808648,36.768138015357266,223,14549755950000,Centerville Elementary School,2201 CENTERVILLE TPKE,http://www.centervillees.vbschools.com/,3447416.74760763,12159498.3468167,36.76813802,-76.18996216,Elementary School,,
-76.08767301073388,36.803663406342423,224,14868194360000,Holland Elementary School,3340 HOLLAND RD,http://www.hollandes.vbschools.com/,3461096.09951396,12189120.6911152,36.80366341,-76.08767301,Elementary School,,
-76.19703017912596,36.779717590209643,225,14557124390000,Tallwood Elementary School,2025 KEMPSVILLE RD,http://www.tallwoodes.vbschools.com/,3451580.86099854,12157325.7868574,36.77971759,-76.19703018,Elementary School,,
-76.027664420572378,36.859632036298585,226,24086211840000,Linkhorn Park Elementary School,977 FIRST COLONIAL RD,http://www.linkhornparkes.vbschools.com/,3481920.92039704,12206150.5031841,36.85963204,-76.02766442,Elementary School,,
-76.128619840148176,36.783222377890468,227,14757342470000,Rosemont Forest Elementary School,1716 GREY FRIARS CHASE,http://www.rosemontforestes.vbschools.com/,3453352.47130047,12177323.0683851,36.78322238,-76.12861984,Elementary School,,
-76.076732870859701,36.819396244431132,228,14962720240000,Brookwood Elementary School,601 S LYNNHAVEN RD,http://www.brookwoodes.vbschools.com/,3466904.32247755,12192175.6712257,36.81939624,-76.07673287,Elementary School,,
-76.018382243725924,36.766305528762466,229,24049767130000,Strawbridge Elementary School,2553 STRAWBRIDGE RD,http://www.strawbridgees.vbschools.com/,3448025.15354306,12209758.3056798,36.76630553,-76.01838224,Elementary School,,
