X,Y,OBJECTID,GPIN,NAME,ADDRESS,WEB_LINK,SP_Y,SP_X,LATI,LONG_,SUB_CATEGORY,NOTE_
-76.057405529486985,36.88510198299516,279,14996081840000,Great Neck Recreation Center,2521 SHOREHAVEN DR,,3490964.55946197,12197212.3714541,36.88510198,-76.05740553,Recreation Center,
-75.99982171146624,36.835765972986259,280,24173396820000,Joseph Grimstead Sr. Seatack Rec Center,141 S BIRDNECK RD,,3473449.20472896,12214523.5458212,36.83576597,-75.99982171,Recreation Center,
-76.126555856578364,36.89911038060513,281,14796545010000,Bayside Recreation Center,4500 FIRST COURT RD,,3495547.38067688,12176866.6480381,36.89911038,-76.12655586,Recreation Center,
-76.152113565113709,36.814433171490123,282,14760540110000,Kempsville Recreation Center,800 MONMOUTH LN,,3464540.37051255,12170162.2946489,36.81443317,-76.15211357,Recreation Center,
-76.020599981143164,36.76488100738559,283,24048793000000,Princess Anne Recreation Center,1400 NIMMO PKWY,,3447489.61852488,12209122.5221745,36.76488101,-76.02059998,Recreation Center,
-76.089333171939103,36.822418846047078,284,14867736710000,Bow Creek Recreation Center,3427 CLUB HOUSE RD,,3467910.02584672,12188460.4342337,36.82241885,-76.08933317,Recreation Center,
-76.158600479443407,36.864986274175543,285,14687286140000,Williams Farm Recreation Center,5252 LEARNING CIR,,3482893.16221896,12167807.4634006,36.86498627,-76.15860048,Recreation Center,
