Name,Latitude,Longitude,Altitude,-,OBJECTID,CODE,SYMBOL,SENIORCENTER,ADDRESS
Glencarlyn Library,38.86359941838245,-77.12591066950988,0.0,,11,2,LB,0,300 S KENSINGTON ST
Central Library,38.884282046688206,-77.10683261976246,0.0,,41,2,LB,0,1015 N QUINCY ST
Plaza Library & Arlington Shop,38.890360616964415,-77.08588011419153,0.0,,54,2,LB,0,2100 CLARENDON BLVD
Cherrydale Library,38.898719577582135,-77.10929125266364,0.0,,89,2,LB,0,2190 N MILITARY RD
Shirlington Library,38.84100429996982,-77.09013813457369,0.0,,98,2,LB,0,4200 CAMPBELL AVE
Columbia Pike Library,38.86452670694009,-77.08817509156196,0.0,,99,2,LB,0,816 S WALTER REED DR
Arlington Career Center,38.864099982254,-77.08845857243779,0.0,,100,2,OC,0,816 S WALTER REED DR
Westover Library,38.88623551119191,-77.14226500161298,0.0,,103,2,LB,0,1800 N LEXINGTON ST
Aurora Hills Library,38.85747164819032,-77.05899495473983,0.0,,115,2,LB,0,735 S 18TH ST
